id;name;dob;zip_code;code
1;Boyd Russel;2023-11-14;814341;53
2;Marlon Crist;2022-02-25;518129;50
3;Rebeka Bernhard;2024-12-08;730746;78
4;Shayne Lebsack;2024-05-04;469487;25
5;Neha O'Keefe;2023-03-05;154437;21
6;Taylor Gaylord;2020-05-31;487870;80
7;Eduardo Hessel;2021-10-05;139449;17
8;Micah Luettgen;2021-05-29;310350;41
9;Lavon Daniel;2022-10-09;583031;78
10;George Kovacek;2021-12-23;655252;34
11;Granville Gorczany;2020-10-24;404113;37
12;Alivia Kemmer;2022-06-08;374706;17
13;Lorenza Heathcote;2024-01-24;589628;8
14;Briana Schmeler;2020-03-21;934303;82
15;Therese Erdman;2022-01-03;105431;83
16;Veda Dicki;2024-06-22;737809;80
17;Conrad Kshlerin;2022-07-24;785082;42
18;Jayda Murray;2020-12-11;468425;76
19;Jane Lebsack;2024-09-07;675835;46
20;Aditya Graham;2021-06-21;770805;33
21;Allan Kreiger;2023-07-25;805985;83
22;Cyrus Larson;2020-12-20;442425;44
23;Nestor Rath;2021-04-21;435857;16
24;Nyah O'Conner;2023-01-14;866938;61
25;Hal Dare;2021-06-15;107881;48
