id;name;dob;zip_code;code
1;Boyd Russel;2023;*;53
2;Marlon Crist;2022;*;50
3;Rebeka Bernhard;2024;*;78
4;Shayne Lebsack;2024;*;25
5;Neha O'Keefe;2023;*;21
6;Taylor Gaylord;2020;*;80
7;Eduardo Hessel;2021;*;17
8;Micah Luettgen;2021;*;41
9;Lavon Daniel;2022;*;78
10;George Kovacek;2021;*;34
11;Granville Gorczany;2020;*;37
12;Alivia Kemmer;2022;*;17
13;Lorenza Heathcote;2024;*;8
14;Briana Schmeler;2020;*;82
15;Therese Erdman;2022;*;83
16;Veda Dicki;2024;*;80
17;Conrad Kshlerin;2022;*;42
18;Jayda Murray;2020;*;76
19;Jane Lebsack;2024;*;46
20;Aditya Graham;2021;*;33
21;Allan Kreiger;2023;*;83
22;Cyrus Larson;2020;*;44
23;Nestor Rath;2021;*;16
24;Nyah O'Conner;2023;*;61
25;Hal Dare;2021;*;48
